             Tau     Tau_gorrito               y
   1.4800000E+00   2.5886626E+00             NaN
   1.4850000E+00   2.5936626E+00             NaN
   1.4900000E+00   2.5986626E+00             NaN
   1.4950000E+00   2.6036626E+00             NaN
   1.5000000E+00   2.6086626E+00             NaN
   1.5050000E+00   2.6136626E+00             NaN
   1.5100000E+00   2.6186626E+00             NaN
   1.5150000E+00   2.6236626E+00             NaN
   1.5200000E+00   2.6286626E+00             NaN
   1.5250000E+00   2.6336626E+00             NaN
   1.5300000E+00   2.6386626E+00             NaN
   1.5350000E+00   2.6436626E+00             NaN
   1.5400000E+00   2.6486626E+00             NaN
   1.5450000E+00   2.6536626E+00             NaN
   1.5500000E+00   2.6586626E+00             NaN
   1.5550000E+00   2.6636626E+00             NaN
   1.5600000E+00   2.6686626E+00             NaN
   1.5650000E+00   2.6736626E+00             NaN
   1.5700000E+00   2.6786626E+00             NaN
   1.5750000E+00   2.6836626E+00             NaN
   1.5800000E+00   2.6886626E+00             NaN
   1.5850000E+00   2.6936626E+00             NaN
   1.5900000E+00   2.6986626E+00             NaN
   1.5950000E+00   2.7036626E+00             NaN
   1.6000000E+00   2.7086626E+00             NaN
   1.6050000E+00   2.7136626E+00             NaN
   1.6100000E+00   2.7186626E+00             NaN
   1.6150000E+00   2.7236626E+00             NaN
   1.6200000E+00   2.7286626E+00             NaN
   1.6250000E+00   2.7336626E+00             NaN
   1.6300000E+00   2.7386626E+00             NaN
   1.6350000E+00   2.7436626E+00             NaN
   1.6400000E+00   2.7486626E+00             NaN
   1.6450000E+00   2.7536626E+00             NaN
   1.6500000E+00   2.7586626E+00             NaN
   1.6550000E+00   2.7636626E+00             NaN
   1.6600000E+00   2.7686626E+00             NaN
   1.6650000E+00   2.7736626E+00             NaN
   1.6700000E+00   2.7786626E+00             NaN
   1.6750000E+00   2.7836626E+00             NaN
   1.6800000E+00   2.7886626E+00             NaN
   1.6850000E+00   2.7936626E+00             NaN
   1.6900000E+00   2.7986626E+00             NaN
   1.6950000E+00   2.8036626E+00             NaN
   1.7000000E+00   2.8086626E+00             NaN
   1.7050000E+00   2.8136626E+00             NaN
   1.7100000E+00   2.8186626E+00             NaN
   1.7150000E+00   2.8236626E+00             NaN
   1.7200000E+00   2.8286626E+00             NaN
   1.7250000E+00   2.8336626E+00             NaN
   1.7300000E+00   2.8386626E+00             NaN
   1.7350000E+00   2.8436626E+00             NaN
   1.7400000E+00   2.8486626E+00             NaN
   1.7450000E+00   2.8536626E+00             NaN
   1.7500000E+00   2.8586626E+00             NaN
   1.7550000E+00   2.8636626E+00             NaN
   1.7600000E+00   2.8686626E+00             NaN
   1.7650000E+00   2.8736626E+00             NaN
   1.7700000E+00   2.8786626E+00             NaN
   1.7750000E+00   2.8836626E+00             NaN
   1.7800000E+00   2.8886626E+00             NaN
   1.7850000E+00   2.8936626E+00             NaN
   1.7900000E+00   2.8986626E+00             NaN
   1.7950000E+00   2.9036626E+00             NaN
   1.8000000E+00   2.9086626E+00             NaN
   1.8050000E+00   2.9136626E+00             NaN
   1.8100000E+00   2.9186626E+00             NaN
   1.8150000E+00   2.9236626E+00             NaN
   1.8200000E+00   2.9286626E+00             NaN
   1.8250000E+00   2.9336626E+00             NaN
   1.8300000E+00   2.9386626E+00             NaN
   1.8350000E+00   2.9436626E+00             NaN
   1.8400000E+00   2.9486626E+00             NaN
   1.8450000E+00   2.9536626E+00             NaN
   1.8500000E+00   2.9586626E+00             NaN
   1.8550000E+00   2.9636626E+00             NaN
   1.8600000E+00   2.9686626E+00             NaN
   1.8650000E+00   2.9736626E+00             NaN
   1.8700000E+00   2.9786626E+00             NaN
   1.8750000E+00   2.9836626E+00             NaN
   1.8800000E+00   2.9886626E+00             NaN
   1.8850000E+00   2.9936626E+00             NaN
   1.8900000E+00   2.9986626E+00             NaN
   1.8950000E+00   3.0036626E+00             NaN
   1.9000000E+00   3.0086626E+00             NaN
   1.9050000E+00   3.0136626E+00             NaN
   1.9100000E+00   3.0186626E+00             NaN
   1.9150000E+00   3.0236626E+00             NaN
   1.9200000E+00   3.0286626E+00             NaN
   1.9250000E+00   3.0336626E+00             NaN
   1.9300000E+00   3.0386626E+00             NaN
   1.9350000E+00   3.0436626E+00             NaN
   1.9400000E+00   3.0486626E+00             NaN
   1.9450000E+00   3.0536626E+00             NaN
